Song Name=Knife Party - Centipede$

// POSITION X :  -7  to   7
// POSITION Y : 3.2 to -3.2
//            1           2          3           4           5            6         7
// CHAIN: singleNote, upperLeft, upperRight, bottomLeft, bottomRight, leftRight, upDown
//            1    2     3      4
// DIRECTION: up, down, left, right
// 
// FORMAT: time~chain|direction,direction2|positionX,positionY|position2X,position2Y
*
2.7078~2|1,3|0,3|-5,0;
3.2685~1|3,0|-5,0|0,0;
3.6988~1|2,0|0,-3|0,0;
4.1348~1|4,0|5,0|0,0;
4.5831~1|2,0|0,-3|0,0;
4.9738~1|1,0|0,3|0,0;
5.4028~1|3,0|-5,0|0,0;
5.8231~1|1,0|0,3|0,0;
6.2663~1|2,0|0,-3|0,0;
6.6803~1|3,0|-5,0|0,0;
7.0940~1|4,0|5,0|0,0;
7.5256~1|1,0|0,3|0,0;
7.9633~1|2,0|0,-3|0,0;
8.4236~1|1,0|0,3|0,0;
8.9023~1|4,0|5,0|0,0;
9.2887~1|1,0|0,3|0,0;
9.7808~1|2,0|0,-3|0,0;
9.9765~1|1,0|0,3|0,0;
10.2177~1|4,0|5,0|0,0;
10.3628~1|3,0|-5,0|0,0;
10.6048~1|2,0|0,-3|0,0;
10.7800~1|1,0|0,3|0,0;
11.0491~1|4,0|5,0|0,0;
11.2487~1|3,0|-5,0|0,0;
11.4811~1|2,0|0,-3|0,0;
11.6704~1|1,0|0,3|0,0;
11.9307~1|4,0|5,0|0,0;
12.1683~1|3,0|-5,0|0,0;
12.3891~1|2,0|0,-3|0,0;
12.5989~1|1,0|0,3|0,0;
12.8231~1|4,0|5,0|0,0;
13.0087~1|1,0|0,3|0,0;
13.2706~1|1,0|0,3|0,0;
13.4650~1|1,0|0,3|0,0;
13.6707~1|1,0|0,3|0,0;
13.8837~1|1,0|0,3|0,0;
14.1022~1|1,0|0,3|0,0;
14.3427~1|1,0|0,3|0,0;
14.5352~1|1,0|0,3|0,0;
14.7025~1|1,0|0,3|0,0;
14.9103~1|1,0|0,3|0,0;
15.0055~1|1,0|0,3|0,0;
15.0979~1|1,0|0,3|0,0;
15.1765~1|1,0|0,3|0,0;
15.2568~1|1,0|0,3|0,0;
15.3216~1|1,0|0,3|0,0;
15.4024~1|1,0|0,3|0,0;
15.4789~1|1,0|0,3|0,0;
15.5635~1|1,0|0,3|0,0;
15.6504~1|1,0|0,3|0,0;
15.7142~1|1,0|0,3|0,0;
15.7979~1|1,0|0,3|0,0;
15.8740~1|1,0|0,3|0,0;
15.9530~1|1,0|0,3|0,0;
16.0224~1|1,0|0,3|0,0;
16.1377~1|1,0|0,3|0,0;
16.3049~1|2,0|0,-3|0,0;
16.4615~1|2,0|0,-3|0,0;
16.5964~1|3,0|-5,0|0,0;
16.7513~1|4,0|5,0|0,0;
17.0549~1|1,0|0,3|0,0;
17.4395~1|2,0|0,-3|0,0;
17.5062~1|3,0|-5,0|0,0;
17.6031~1|1,0|0,3|0,0;
17.7022~1|2,0|0,-3|0,0;
17.8246~1|2,0|0,-3|0,0;
17.8992~1|1,0|0,3|0,0;
18.0096~1|4,0|5,0|0,0;
18.0668~1|4,0|5,0|0,0;
18.1757~1|2,0|0,-3|0,0;
18.2708~1|2,0|0,-3|0,0;
18.3947~1|1,0|0,3|0,0;
19.1055~1|3,0|-5,0|0,0;
19.2332~1|4,0|5,0|0,0;
19.2912~1|2,0|0,-3|0,0;
19.3949~1|2,0|0,-3|0,0;
19.4703~1|1,0|0,3|0,0;
19.5776~1|1,0|0,3|0,0;
19.6971~1|3,0|-5,0|0,0;
20.0725~1|3,0|-5,0|0,0;
20.4454~1|1,0|0,3|0,0;
20.8761~1|4,0|5,0|0,0;
20.9573~1|4,0|5,0|0,0;
21.0483~1|2,0|0,-3|0,0;
21.1606~1|2,0|0,-3|0,0;
21.3308~1|1,0|0,3|0,0;
21.4256~1|1,0|0,3|0,0;
21.6739~1|3,0|-5,0|0,0;
21.8235~1|4,0|5,0|0,0;
22.0236~1|4,0|5,0|0,0;
22.2324~1|2,0|0,-3|0,0;
22.4420~1|2,0|0,-3|0,0;
22.6509~1|1,0|0,3|0,0;
22.8940~1|3,0|-5,0|0,0;
23.0633~1|4,0|5,0|0,0;
23.4856~1|2,0|0,-3|0,0;
23.6028~1|1,0|0,3|0,0;
23.6398~1|2,0|0,-3|0,0;
23.7628~1|1,0|0,3|0,0;
23.8009~1|2,0|0,-3|0,0;
23.8906~1|1,0|0,3|0,0;
23.9434~1|2,0|0,-3|0,0;
24.0622~1|1,0|0,3|0,0;
24.2840~1|3,0|-5,0|0,0;
24.3030~1|3,0|-5,0|0,0;
24.4515~1|3,0|-5,0|0,0;
24.4835~1|3,0|-5,0|0,0;
24.6152~1|3,0|-5,0|0,0;
24.6335~1|3,0|-5,0|0,0;
24.7425~1|3,0|-5,0|0,0;
24.8272~1|4,0|5,0|0,0;
24.9065~1|4,0|5,0|0,0;
25.0039~1|4,0|5,0|0,0;
25.0598~1|4,0|5,0|0,0;
25.2342~1|1,0|0,3|0,0;
25.3249~1|2,0|0,-3|0,0;
25.4004~1|1,0|0,3|0,0;
25.4795~1|2,0|0,-3|0,0;
25.5395~1|1,0|0,3|0,0;
25.6740~1|1,0|0,3|0,0;
25.7321~1|2,0|0,-3|0,0;
25.7697~1|2,0|0,-3|0,0;
25.8450~1|1,0|0,3|0,0;
25.9980~1|3,0|-5,0|0,0;
26.1528~1|3,0|-5,0|0,0;
26.2564~1|4,0|5,0|0,0;
26.3293~1|4,0|5,0|0,0;
26.4330~1|3,0|-5,0|0,0;
26.5175~1|3,0|-5,0|0,0;
26.5974~1|4,0|5,0|0,0;
26.6812~1|3,0|-5,0|0,0;
26.7119~1|4,0|5,0|0,0;
26.8405~1|4,0|5,0|0,0;
26.8943~1|3,0|-5,0|0,0;
#
