Song Name=Knife Party - Centipede$

// POSITION X :  -7  to   7
// POSITION Y : 3.2 to -3.2
//            1           2          3           4           5            6         7
// CHAIN: singleNote, upperLeft, upperRight, bottomLeft, bottomRight, leftRight, upDown
//            1    2     3      4
// DIRECTION: up, down, left, right
// 
// FORMAT: time~chain|direction,direction2|positionX,positionY|position2X,position2Y
*
3.0207~1|2,0|0,-3|0,0;
3.3887~1|3,0|-5,0|0,0;
3.8471~1|4,0|5,0|0,0;
4.2637~1|2,0|0,-3|0,0;
4.6740~1|1,0|0,3|0,0;
5.1039~1|3,0|-5,0|0,0;
5.5345~1|4,0|5,0|0,0;
5.9442~1|2,0|0,-3|0,0;
6.3887~1|1,0|0,3|0,0;
6.8059~1|3,0|-5,0|0,0;
7.2219~1|2,0|0,-3|0,0;
7.6455~1|1,0|0,3|0,0;
8.0555~1|4,0|5,0|0,0;
8.5205~1|3,0|-5,0|0,0;
8.9511~1|2,0|0,-3|0,0;
9.3886~1|1,0|0,3|0,0;
9.7705~1|4,0|5,0|0,0;
9.9511~1|3,0|-5,0|0,0;
10.1942~1|2,0|0,-3|0,0;
10.3679~1|1,0|0,3|0,0;
10.6247~1|3,0|-5,0|0,0;
10.8261~1|4,0|5,0|0,0;
11.0621~1|4,0|5,0|0,0;
11.2777~1|1,0|0,3|0,0;
11.5204~1|2,0|0,-3|0,0;
11.7219~1|3,0|-5,0|0,0;
11.9440~1|4,0|5,0|0,0;
12.1594~1|1,0|0,3|0,0;
12.4024~1|2,0|0,-3|0,0;
12.6177~1|2,0|0,-3|0,0;
12.8468~1|1,0|0,3|0,0;
13.0482~1|3,0|-5,0|0,0;
13.2634~1|3,0|-5,0|0,0;
13.4232~1|4,0|5,0|0,0;
13.6525~1|4,0|5,0|0,0;
13.8746~1|1,0|0,3|0,0;
14.1246~1|2,0|0,-3|0,0;
14.3055~1|3,0|-5,0|0,0;
14.5620~1|3,0|-5,0|0,0;
14.7359~1|4,0|5,0|0,0;
14.9370~1|4,0|5,0|0,0;
15.1176~1|1,0|0,3|0,0;
15.3745~1|2,0|0,-3|0,0;
15.5967~1|1,0|0,3|0,0;
15.8050~1|2,0|0,-3|0,0;
15.9926~1|1,0|0,3|0,0;
16.2845~1|1,0|0,3|0,0;
16.3468~1|1,0|0,3|0,0;
16.4579~1|1,0|0,3|0,0;
16.6939~1|3,0|-5,0|0,0;
17.1036~1|4,0|5,0|0,0;
17.5062~1|2,0|0,-3|0,0;
17.6174~1|1,0|0,3|0,0;
17.6801~1|2,0|0,-3|0,0;
17.7841~1|1,0|0,3|0,0;
17.8608~1|2,0|0,-3|0,0;
17.9786~1|1,0|0,3|0,0;
18.0551~1|2,0|0,-3|0,0;
18.1521~1|1,0|0,3|0,0;
18.2288~1|2,0|0,-3|0,0;
18.3606~1|3,0|-5,0|0,0;
19.1454~1|4,0|5,0|0,0;
19.4090~1|1,0|0,3|0,0;
19.6243~1|2,0|0,-3|0,0;
19.8396~1|3,0|-5,0|0,0;
20.0966~1|4,0|5,0|0,0;
20.4785~1|1,0|0,3|0,0;
21.0062~1|3,0|-5,0|0,0;
21.1174~1|3,0|-5,0|0,0;
21.2493~1|3,0|-5,0|0,0;
21.3673~1|3,0|-5,0|0,0;
21.5340~1|1,0|0,3|0,0;
21.7701~1|2,0|0,-3|0,0;
22.0409~1|4,0|5,0|0,0;
22.2770~1|1,0|0,3|0,0;
22.5131~1|3,0|-5,0|0,0;
22.7283~1|2,0|0,-3|0,0;
22.9436~1|1,0|0,3|0,0;
23.1521~1|1,0|0,3|0,0;
23.5269~1|4,0|5,0|0,0;
23.6451~1|3,0|-5,0|0,0;
23.7492~1|2,0|0,-3|0,0;
23.8533~1|1,0|0,3|0,0;
23.9505~1|2,0|0,-3|0,0;
24.0964~1|4,0|5,0|0,0;
24.2145~1|3,0|-5,0|0,0;
24.3048~1|2,0|0,-3|0,0;
