Song Name=Virtual Riot - Dragons$

// POSITION X :  -7  to   7
// POSITION Y : 3.2 to -3.2
//            1           2          3           4           5            6         7
// CHAIN: singleNote, upperLeft, upperRight, bottomLeft, bottomRight, leftRight, upDown
//            1    2     3      4
// DIRECTION: up, down, left, right
// 
// FORMAT: time~chain|direction,direction2|positionX,positionY|position2X,position2Y|
*
13.8701~1|1,0|0,3|0,0|;
14.2184~1|3,0|-5,0|0,0|;
14.6644~1|2,0|0,-3|0,0|;
15.1105~1|1,0|0,3|0,0|;
15.4589~1|4,0|5,0|0,0|;
15.9120~1|2,0|0,-3|0,0|;
16.3089~1|1,0|0,3|0,0|;
16.7340~1|3,0|-5,0|0,0|;
16.8385~1|3,0|-5,0|0,0|;
16.9431~1|2,0|0,-3|0,0|;
17.0123~1|2,0|0,-3|0,0|;
17.1312~1|1,0|0,3|0,0|;
17.2289~1|1,0|0,3|0,0|;
17.6121~1|4,0|5,0|0,0|;
18.0783~1|2,0|0,-3|0,0|;
18.5039~1|4,0|5,0|0,0|;
18.9360~1|2,0|0,-3|0,0|;
19.1173~1|1,0|0,3|0,0|;
19.7582~1|3,0|-5,0|0,0|;
20.1483~1|2,0|0,-3|0,0|;
20.5804~1|4,0|5,0|0,0|;
20.9915~1|2,0|0,-3|0,0|;
21.4514~1|1,0|0,3|0,0|;
21.8694~1|3,0|-5,0|0,0|;
22.3014~1|2,0|0,-3|0,0|;
22.7823~1|4,0|5,0|0,0|;
23.0193~1|1,0|0,3|0,0|;
23.1028~1|2,0|0,-3|0,0|;
23.2142~1|2,0|0,-3|0,0|;
23.4931~1|1,0|0,3|0,0|;
23.8342~1|3,0|-5,0|0,0|;
24.3150~1|3,0|-5,0|0,0|;
25.3812~1|1,0|0,3|0,0|;
25.4857~1|4,0|5,0|0,0|;
25.5758~1|2,0|0,-3|0,0|;
25.7297~1|1,0|0,3|0,0|;
26.2105~1|4,0|5,0|0,0|;
26.6140~1|3,0|-5,0|0,0|;
27.0605~1|2,0|0,-3|0,0|;
27.4436~1|1,0|0,3|0,0|;
27.6458~1|4,0|5,0|0,0|;
27.8896~1|2,0|0,-3|0,0|;
28.1268~1|1,0|0,3|0,0|;
28.3497~1|3,0|-5,0|0,0|;
28.5306~1|3,0|-5,0|0,0|;
28.7398~1|2,0|0,-3|0,0|;
28.9474~1|2,0|0,-3|0,0|;
29.1495~1|1,0|0,3|0,0|;
29.4003~1|4,0|5,0|0,0|;
29.6101~1|4,0|5,0|0,0|;
29.7985~1|3,0|-5,0|0,0|;
30.0423~1|2,0|0,-3|0,0|;
30.2586~1|1,0|0,3|0,0|;
30.4747~1|3,0|-5,0|0,0|;
30.7463~1|4,0|5,0|0,0|;
30.9202~1|1,0|0,3|0,0|;
31.1229~1|2,0|0,-3|0,0|;
31.3459~1|2,0|0,-3|0,0|;
31.5830~1|1,0|0,3|0,0|;
31.7710~1|3,0|-5,0|0,0|;
31.9662~1|3,0|-5,0|0,0|;
32.1685~1|2,0|0,-3|0,0|;
32.4265~1|1,0|0,3|0,0|;
32.5944~1|4,0|5,0|0,0|;
32.8516~1|4,0|5,0|0,0|;
33.0603~1|1,0|0,3|0,0|;
33.2628~1|2,0|0,-3|0,0|;
33.4721~1|3,0|-5,0|0,0|;
33.7301~1|1,0|0,3|0,0|;
33.9043~1|2,0|0,-3|0,0|;
34.0988~1|3,0|-5,0|0,0|;
34.3295~1|4,0|5,0|0,0|;
34.4202~1|2,0|0,-3|0,0|;
34.5245~1|2,0|0,-3|0,0|;
34.6361~1|2,0|0,-3|0,0|;
34.7197~1|2,0|0,-3|0,0|;
34.8386~1|2,0|0,-3|0,0|;
34.9082~1|2,0|0,-3|0,0|;
35.0474~1|2,0|0,-3|0,0|;
35.1794~1|1,0|0,3|0,0|;
35.2703~1|1,0|0,3|0,0|;
35.3889~1|1,0|0,3|0,0|;
35.4865~1|1,0|0,3|0,0|;
35.5981~1|1,0|0,3|0,0|;
35.7165~1|1,0|0,3|0,0|;
35.8005~1|1,0|0,3|0,0|;
35.9186~1|1,0|0,3|0,0|;
36.0302~1|3,0|-5,0|0,0|;
36.1277~1|3,0|-5,0|0,0|;
36.2741~1|3,0|-5,0|0,0|;
36.4065~1|3,0|-5,0|0,0|;
36.4900~1|3,0|-5,0|0,0|;
36.6366~1|3,0|-5,0|0,0|;
36.6855~1|3,0|-5,0|0,0|;
36.9224~1|4,0|5,0|0,0|;
36.9504~1|4,0|5,0|0,0|;
37.1525~1|4,0|5,0|0,0|;
37.1874~1|4,0|5,0|0,0|;
37.3199~1|4,0|5,0|0,0|;
37.4592~1|4,0|5,0|0,0|;
37.6684~1|4,0|5,0|0,0|;
37.9470~1|2,0|0,-3|0,0|;
38.3027~1|2,0|0,-3|0,0|;
39.0273~1|1,0|0,3|0,0|;
39.6128~1|3,0|-5,0|0,0|;
39.8289~1|2,0|0,-3|0,0|;
40.1357~1|1,0|0,3|0,0|;
40.3867~1|4,0|5,0|0,0|;
40.5819~1|4,0|5,0|0,0|;
40.7420~1|2,0|0,-3|0,0|;
40.8746~1|1,0|0,3|0,0|;
41.0837~1|3,0|-5,0|0,0|;
41.2095~1|3,0|-5,0|0,0|;
41.6623~1|2,0|0,-3|0,0|;
42.1015~1|1,0|0,3|0,0|;
42.5474~1|4,0|5,0|0,0|;
42.9381~1|3,0|-5,0|0,0|;
43.3283~1|2,0|0,-3|0,0|;
43.7882~1|4,0|5,0|0,0|;
44.1857~1|1,0|0,3|0,0|;
44.6388~1|3,0|-5,0|0,0|;
45.0432~1|2,0|0,-3|0,0|;
45.4478~1|1,0|0,3|0,0|;
45.9005~1|4,0|5,0|0,0|;
46.3329~1|2,0|0,-3|0,0|;
46.7587~1|1,0|0,3|0,0|;
47.1621~1|3,0|-5,0|0,0|;
47.3293~1|2,0|0,-3|0,0|;
47.6432~1|1,0|0,3|0,0|;
47.7758~1|1,0|0,3|0,0|;
48.1102~1|4,0|5,0|0,0|;
48.3401~1|4,0|5,0|0,0|;
48.4865~1|2,0|0,-3|0,0|;
48.7862~1|1,0|0,3|0,0|;
48.9815~1|3,0|-5,0|0,0|;
49.4346~1|2,0|0,-3|0,0|;
49.8665~1|1,0|0,3|0,0|;
50.2502~1|4,0|5,0|0,0|;
50.6961~1|2,0|0,-3|0,0|;
51.0725~1|1,0|0,3|0,0|;
51.4837~1|3,0|-5,0|0,0|;
51.9368~1|2,0|0,-3|0,0|;
52.3759~1|1,0|0,3|0,0|;
52.7383~1|4,0|5,0|0,0|;
53.1565~1|2,0|0,-3|0,0|;
53.4008~1|1,0|0,3|0,0|;
53.5331~1|3,0|-5,0|0,0|;
53.6099~1|2,0|0,-3|0,0|;
53.8537~1|1,0|0,3|0,0|;
53.9791~1|1,0|0,3|0,0|;
54.1536~1|4,0|5,0|0,0|;
54.3556~1|4,0|5,0|0,0|;
54.5158~1|3,0|-5,0|0,0|;
54.7390~1|2,0|0,-3|0,0|;
54.9550~1|1,0|0,3|0,0|;
55.3660~1|3,0|-5,0|0,0|;
55.7913~1|1,0|0,3|0,0|;
56.2722~1|2,0|0,-3|0,0|;
56.6905~1|4,0|5,0|0,0|;
57.0881~1|1,0|0,3|0,0|;
57.5409~1|2,0|0,-3|0,0|;
57.9172~1|3,0|-5,0|0,0|;
58.3633~1|1,0|0,3|0,0|;
58.7681~1|2,0|0,-3|0,0|;
59.2138~1|1,0|0,3|0,0|;
59.6182~1|4,0|5,0|0,0|;
60.0849~1|4,0|5,0|0,0|;
60.4893~1|1,0|0,3|0,0|;
60.9216~1|3,0|-5,0|0,0|;
