Song Name=Virtual Riot - Dragons$

// POSITION X :  -7  to   7
// POSITION Y : 3.2 to -3.2
//            1           2          3           4           5            6         7
// CHAIN: singleNote, upperLeft, upperRight, bottomLeft, bottomRight, leftRight, upDown
//            1    2     3      4
// DIRECTION: up, down, left, right
// 
// FORMAT: time~chain|direction,direction2|positionX,positionY|position2X,position2Y
*
2.3207~1|1,0|0,3|0,0;
2.5022~1|2,0|0,-3|0,0;
2.6884~1|1,0|0,3|0,0;
2.8838~1|2,0|0,-3|0,0;
3.0369~1|1,0|0,3|0,0;
3.2112~1|2,0|0,-3|0,0;
3.3855~1|1,0|0,3|0,0;
3.5598~1|2,0|0,-3|0,0;
3.7409~1|1,0|0,3|0,0;
3.9082~1|2,0|0,-3|0,0;
4.0903~1|1,0|0,3|0,0;
4.2432~1|2,0|0,-3|0,0;
4.3902~1|1,0|0,3|0,0;
4.5505~1|2,0|0,-3|0,0;
4.6686~1|1,0|0,3|0,0;
4.8566~1|2,0|0,-3|0,0;
5.0241~1|1,0|0,3|0,0;
5.1849~1|2,0|0,-3|0,0;
5.3446~1|1,0|0,3|0,0;
5.4980~1|2,0|0,-3|0,0;
5.6650~1|1,0|0,3|0,0;
5.8185~1|2,0|0,-3|0,0;
5.9858~1|1,0|0,3|0,0;
6.1601~1|2,0|0,-3|0,0;
6.3134~1|1,0|0,3|0,0;
6.4876~1|2,0|0,-3|0,0;
6.6202~1|1,0|0,3|0,0;
6.8224~1|2,0|0,-3|0,0;
6.9757~1|1,0|0,3|0,0;
7.1501~1|2,0|0,-3|0,0;
7.3033~1|1,0|0,3|0,0;
7.4705~1|2,0|0,-3|0,0;
7.6241~1|1,0|0,3|0,0;
7.7914~1|2,0|0,-3|0,0;
7.9378~1|1,0|0,3|0,0;
8.1051~1|2,0|0,-3|0,0;
8.2376~1|1,0|0,3|0,0;
8.4187~1|2,0|0,-3|0,0;
8.5582~1|1,0|0,3|0,0;
8.7323~1|2,0|0,-3|0,0;
8.8717~1|1,0|0,3|0,0;
9.0112~1|2,0|0,-3|0,0;
9.1505~1|1,0|0,3|0,0;
9.3179~1|2,0|0,-3|0,0;
9.4573~1|1,0|0,3|0,0;
9.6537~1|2,0|0,-3|0,0;
13.9461~1|3,0|-5,0|0,0;
14.5666~1|4,0|5,0|0,0;
14.9642~1|2,0|0,-3|0,0;
15.3898~1|1,0|0,3|0,0;
15.5991~1|4,0|5,0|0,0;
15.8080~1|3,0|-5,0|0,0;
16.0797~1|2,0|0,-3|0,0;
16.2959~1|1,0|0,3|0,0;
16.7276~1|4,0|5,0|0,0;
16.8533~1|3,0|-5,0|0,0;
17.0002~1|2,0|0,-3|0,0;
17.0769~1|1,0|0,3|0,0;
17.7042~1|3,0|-5,0|0,0;
18.0036~1|4,0|5,0|0,0;
18.4358~1|1,0|0,3|0,0;
18.7912~1|2,0|0,-3|0,0;
18.9095~1|3,0|-5,0|0,0;
19.0913~1|4,0|5,0|0,0;
19.2376~1|1,0|0,3|0,0;
19.5031~1|2,0|0,-3|0,0;
19.7261~1|3,0|-5,0|0,0;
20.1576~1|1,0|0,3|0,0;
20.5966~1|4,0|5,0|0,0;
20.7015~1|3,0|-5,0|0,0;
