Song Name=鄧紫棋 - Fly Away$

// POSITION X :  -7  to   7
// POSITION Y : 3.2 to -3.2
//            1           2          3           4           5            6         7
// CHAIN: singleNote, upperLeft, upperRight, bottomLeft, bottomRight, leftRight, upDown
//            1    2     3      4
// DIRECTION: up, down, left, right
// 
// FORMAT: time~chain|direction,direction2|positionX,positionY|position2X,position2Y|
*
3.0000~1|3,0|-6.13,-0.32|0,0|;
3.1500~1|3,0|-4.81,-0.06|0,0|;
3.3500~1|3,0|-3.51,0.25|0,0|;
3.4506~2|3,1|-2.19,0.64|-0.08,3.47|;
3.8948~3|1,4|-0.08,3.47|2.88,0.87|;
4.2569~1|4,0|3.88,0.31|0,0|;
4.6263~7|2,1|-0.22,-2.44|-1.54,2.53|;
4.9956~1|3,0|-3.56,0.04|0,0|;
5.3439~3|1,4|0,3|3.63,1.76|;
5.7202~1|4,0|5.88,0.7|0,0|;
6.0617~5|2,4|0.14,-2.78|4.16,-0.53|;
6.4446~1|3,0|-3.76,0.32|0,0|;
6.8144~7|2,1|0.32,-2.73|0.27,2.9|;
7.1905~1|4,0|3.44,0.42|0,0|;
7.5598~2|1,3|0,3|-3.16,-1.09|;
7.9634~1|3,0|-4.35,0.55|0,0|;
8.3193~5|2,4|0.21,-3.14|3.89,1.53|;
8.6607~1|4,0|3.69,-0.11|0,0|;
8.9000~1|3,0|-6.56,-0.48|0,0|;
9.1000~1|3,0|-5.23,-0.06|0,0|;
9.2000~1|3,0|-3.99,0.46|0,0|;
9.4159~2|3,1|-2.84,1.09|0,3|;
9.7894~7|1,2|0,3|-0.05,-2.59|;
10.1795~1|4,0|3.96,0.06|0,0|;
10.5489~5|2,4|0.27,-2.59|2.98,-1.63|;
10.9320~1|3,0|-3.45,0.5|0,0|;
11.2666~2|1,3|0,3|-3.1,2.27|;
11.6638~6|4,3|3.62,-0.02|-4.06,-0.05|;
12.0400~1|2,0|0.31,-2.84|0,0|;
12.3878~1|3,0|-3.28,-1.41|0,0|;
12.7788~1|1,0|0,3|0,0|;
13.1340~1|3,0|-4.95,0.2|0,0|;
13.4964~1|4,0|4.26,0.06|0,0|;
13.8519~7|2,1|0.19,-2.88|0.04,3.01|;
14.5974~6|3,4|-4.43,0.48|3.69,0.41|;
15.3185~2|1,3|-4.16,3.11|-6.2,0.26|;
15.4646~3|1,4|3.26,3.1|5.7,-0.35|;
16.0430~1|1,0|0,3|0,0|;
16.2448~1|1,0|1.27,2.25|0,0|;
16.4197~1|1,0|-0.04,1.5|0,0|;
16.6078~1|1,0|-1.27,2.25|0,0|;
16.8029~1|4,0|4.3,0.13|0,0|;
17.2071~1|2,0|0.01,-3.03|0,0|;
17.5833~1|4,0|3.67,-1.11|0,0|;
17.9665~1|3,0|-6.62,-0.34|0,0|;
18.1270~1|3,0|-5.51,-0.82|0,0|;
18.3152~1|3,0|-4.14,-1.33|0,0|;
19.0265~1|2,0|-0.21,-1.66|0,0|;
19.2210~1|2,0|-1.34,-2.54|0,0|;
19.4020~1|2,0|-0.21,-3.44|0,0|;
19.6110~1|2,0|0.98,-2.56|0,0|;
19.8134~6|4,3|4.53,-0.83|-5.06,-0.16|;
20.1825~2|1,3|0,3|-5.06,-0.16|;
20.5589~3|1,4|0,3|2.61,0.87|;
20.9003~1|4,0|4.1,0.53|0,0|;
21.0885~1|2,0|-0.34,-2.88|0,0|;
21.2620~1|1,0|-0.22,3.53|0,0|;
21.6661~1|3,0|-4.05,0.25|0,0|;
21.8262~1|4,0|3.73,0.09|0,0|;
22.0150~1|1,0|1.24,2.69|0,0|;
22.2031~1|2,0|-0.22,-2.86|0,0|;
22.3982~1|3,0|-5.7,0.12|0,0|;
22.7187~1|1,0|-2.03,2.47|0,0|;
22.9209~1|1,0|-0.75,2.9|0,0|;
23.0950~1|1,0|0.57,3.06|0,0|;
23.2693~1|1,0|1.93,3.11|0,0|;
23.4505~1|1,0|3.3,3.02|0,0|;
23.8409~1|4,0|5.39,0.84|0,0|;
24.0078~1|4,0|4.68,-0.3|0,0|;
24.2100~7|2,1|1.77,-2.49|-1.14,2.4|;
24.3919~3|1,4|-1.14,2.4|3.72,1.27|;
24.6072~1|2,0|0.44,-2.74|0,0|;
24.7813~1|2,0|-0.94,-2.74|0,0|;
24.9838~1|2,0|-2.31,-2.57|0,0|;
25.1785~1|2,0|-3.64,-2.23|0,0|;
25.3667~1|2,0|-4.94,-1.87|0,0|;
25.7430~1|1,0|-0.21,3.08|0,0|;
25.9103~1|1,0|-1.43,2.47|0,0|;
26.0909~1|1,0|-2.14,1.32|0,0|;
26.2724~1|1,0|-1.41,0.2|0,0|;
26.4675~1|1,0|-0.21,-0.44|0,0|;
26.6557~1|1,0|0.99,0.24|0,0|;
26.8229~1|1,0|1.56,1.43|0,0|;
26.9764~1|1,0|0.73,2.52|0,0|;
27.1923~1|4,0|3.06,2.14|0,0|;
27.3386~1|4,0|4.19,2.93|0,0|;
27.9099~1|1,0|-0.26,2.18|0,0|;
28.0912~1|4,0|3.18,-0.05|0,0|;
28.2793~1|3,0|-3.49,0|0,0|;
28.4603~1|2,0|0.12,-3.02|0,0|;
