Song Name=Nömak & Araatan - Teeter-Totter$

// POSITION X :  -7  to   7
// POSITION Y : 3.2 to -3.2
//            1           2          3           4           5            6         7
// CHAIN: singleNote, upperLeft, upperRight, bottomLeft, bottomRight, leftRight, upDown
//            1    2     3      4
// DIRECTION: up, down, left, right
// 
// FORMAT: time~chain|direction,direction2|positionX,positionY|position2X,position2Y
*
7.7801~1|1,0|0,3|0,0;
8.2542~1|2,0|0,-3|0,0;
8.7283~1|4,0|5,0|0,0;
9.6692~1|3,0|-5,0|0,0;
10.1361~1|2,0|0,-3|0,0;
10.6030~1|4,0|5,0|0,0;
11.6070~1|1,0|0,3|0,0;
12.0736~1|2,0|0,-3|0,0;
12.5128~1|3,0|-5,0|0,0;
13.4896~1|4,0|5,0|0,0;
13.9355~1|2,0|0,-3|0,0;
14.3815~1|1,0|0,3|0,0;
15.3507~1|3,0|-5,0|0,0;
15.8038~1|4,0|5,0|0,0;
16.2568~1|2,0|0,-3|0,0;
17.2256~1|1,0|0,3|0,0;
17.7066~1|3,0|-5,0|0,0;
18.1667~1|4,0|5,0|0,0;
19.1357~1|2,0|0,-3|0,0;
19.5679~1|1,0|0,3|0,0;
20.0490~1|3,0|-5,0|0,0;
20.9625~1|4,0|5,0|0,0;
21.9173~1|2,0|0,-3|0,0;
22.1125~1|1,0|0,3|0,0;
22.4330~1|3,0|-5,0|0,0;
22.5376~1|4,0|5,0|0,0;
22.8652~1|2,0|0,-3|0,0;
23.8619~1|1,0|0,3|0,0;
24.2454~1|4,0|5,0|0,0;
24.3989~1|3,0|-5,0|0,0;
24.6916~1|2,0|0,-3|0,0;
25.0053~1|1,0|0,3|0,0;
25.7234~1|4,0|5,0|0,0;
26.2460~1|2,0|0,-3|0,0;
26.6714~1|1,0|0,3|0,0;
27.5992~1|3,0|-5,0|0,0;
27.9192~1|4,0|5,0|0,0;
28.2887~1|2,0|0,-3|0,0;
28.5674~1|1,0|0,3|0,0;
29.0484~1|4,0|5,0|0,0;
29.4946~1|2,0|0,-3|0,0;
29.6966~1|1,0|0,3|0,0;
29.9615~1|3,0|-5,0|0,0;
30.0728~1|4,0|5,0|0,0;
30.4634~1|2,0|0,-3|0,0;
31.4115~1|1,0|0,3|0,0;
31.8085~1|3,0|-5,0|0,0;
31.8853~1|4,0|5,0|0,0;
32.2409~1|2,0|0,-3|0,0;
32.5544~1|1,0|0,3|0,0;
33.3490~1|4,0|5,0|0,0;
33.8230~1|3,0|-5,0|0,0;
34.2550~1|1,0|0,3|0,0;
35.1333~1|2,0|0,-3|0,0;
35.4330~1|4,0|5,0|0,0;
35.8719~1|1,0|0,3|0,0;
36.2413~1|3,0|-5,0|0,0;
36.9661~1|1,0|0,3|0,0;
37.3361~1|4,0|5,0|0,0;
37.6913~1|2,0|0,-3|0,0;
37.8167~1|1,0|0,3|0,0;
37.9840~1|3,0|-5,0|0,0;
38.2415~1|4,0|5,0|0,0;
38.5273~1|2,0|0,-3|0,0;
38.7506~1|1,0|0,3|0,0;
38.9597~1|3,0|-5,0|0,0;
39.1897~1|4,0|5,0|0,0;
39.4266~1|2,0|0,-3|0,0;
39.6849~1|1,0|0,3|0,0;
39.9147~1|3,0|-5,0|0,0;
40.1448~1|4,0|5,0|0,0;
40.3817~1|2,0|0,-3|0,0;
40.5910~1|1,0|0,3|0,0;
40.8071~1|4,0|5,0|0,0;
41.1284~1|2,0|0,-3|0,0;
