Song Name=雷雨心 - 記念$

// POSITION X :  -7  to   7
// POSITION Y : 3.2 to -3.2
//            1           2          3           4           5            6         7
// CHAIN: singleNote, upperLeft, upperRight, bottomLeft, bottomRight, leftRight, upDown
//            1    2     3      4
// DIRECTION: up, down, left, right
// 
// FORMAT: time~chain|direction,direction2|positionX,positionY|position2X,position2Y|
*
2.7188~1|1,0|1.48,2.46|0,0|;
3.0185~1|4,0|5,0|0,0|;
3.3040~1|2,0|-1.27,-2.53|0,0|;
3.5481~1|1,0|-1.28,2.25|0,0|;
4.0569~3|4,1|5,0|1.49,2.5|;
4.9421~1|3,0|-5,0|0,0|;
5.1926~1|1,0|-2.55,2.11|0,0|;
5.4582~1|2,0|-2.49,-2.13|0,0|;
5.7229~1|2,0|0.18,-2.24|0,0|;
6.2317~1|1,0|1.51,1.99|0,0|;
7.0818~1|4,0|5,0|0,0|;
7.3398~1|3,0|-5,0|0,0|;
7.6404~1|1,0|-2.44,2.55|0,0|;
7.8629~1|2,0|-1.54,-2.67|0,0|;
8.1556~1|4,0|4.04,-1.39|0,0|;
8.4135~1|1,0|1.39,2.44|0,0|;
8.6922~1|2,0|1.48,-2.74|0,0|;
8.9506~1|4,0|5.63,0.59|0,0|;
9.1941~1|1,0|0,3|0,0|;
9.5291~1|3,0|-3.04,1.51|0,0|;
9.6476~1|2,0|-0.95,-2.81|0,0|;
9.7871~1|1,0|1.48,2.19|0,0|;
9.9337~1|1,0|3.35,1.19|0,0|;
10.0799~1|4,0|5,0|0,0|;
10.6378~1|3,0|-5,0|0,0|;
11.2091~1|2,0|0,-3|0,0|;
11.6622~1|1,0|0,3|0,0|;
11.9690~1|1,0|-1.48,2.19|0,0|;
12.1986~1|4,0|5,0|0,0|;
12.7913~1|2,0|0,-3|0,0|;
13.3283~1|3,0|-5,0|0,0|;
13.8651~1|2,0|0,-3|0,0|;
14.4437~1|2,0|0.01,-1|0,0|;
14.9664~3|4,1|2.36,0.46|-0.31,2.84|;
15.8243~1|1,0|-2.35,2.15|0,0|;
16.0678~1|2,0|0,-3|0,0|;
16.3256~1|3,0|-3.86,-0.89|0,0|;
16.6120~1|1,0|1.8,2.83|0,0|;
16.8902~1|2,0|2.09,-2.45|0,0|;
17.6783~1|4,0|3.37,0.75|0,0|;
17.9083~1|1,0|1.1,2.87|0,0|;
18.2216~1|2,0|1.66,-1.79|0,0|;
18.5145~1|2,0|-0.29,-2.56|0,0|;
